Season,Team1ID,Team2ID,Team1Name,Team2Name,Team1Seed,Team2Seed,Region,IsPlayIn,Team1WinProbability,Team2WinProbability,PredictedWinner,PredictedWinnerSeed,UpsetProbability,IsSeedUpset
2025,1355,1120,Missouri,Drake,6,11,West,False,0.14745530426254944,0.8525446957374505,Drake,11,0.8525446957374505,True
2025,1305,1124,Louisville,Creighton,8,9,South,False,0.2273536114302215,0.7726463885697785,Creighton,9,0.7726463885697785,True
2025,1276,1429,Michigan,UC San Diego,5,12,South,False,0.2726486480592744,0.7273513519407255,UC San Diego,12,0.7273513519407255,True
2025,1459,1329,Wisconsin,Montana,3,14,East,False,0.3147226062500444,0.6852773937499557,Montana,14,0.6852773937499557,True
2025,1342,1072,Mississippi State,Baylor,8,9,West,False,0.40816908622587394,0.591830913774126,Baylor,9,0.591830913774126,True
2025,1374,1326,Ole Miss,North Carolina,6,11,South,False,0.41507941145047955,0.5849205885495204,North Carolina,11,0.5849205885495204,True
2025,1277,1086,Michigan State,Bryant,2,15,South,False,0.4166934788269918,0.5833065211730082,Bryant,15,0.5833065211730082,True
2025,1246,1001,Kentucky,Akron,3,13,Midwest,False,0.41894002063614433,0.5810599793638557,Akron,13,0.5810599793638557,True
2025,1288,1094,Memphis,Colorado State,5,12,West,False,0.42021560790237616,0.5797843920976238,Colorado State,12,0.5797843920976238,True
2025,1328,1428,Saint Mary's,Vanderbilt,7,10,East,False,0.4276252696110847,0.5723747303889153,Vanderbilt,10,0.5723747303889153,True
2025,1242,1011,Kansas,Arkansas,7,10,West,False,0.43358037542254124,0.5664196245774588,Arkansas,10,0.5664196245774588,True
2025,1228,1003,Houston,Alabama State,1,16,East,False,0.44474978466559395,0.5552502153344061,Alabama State,16,0.5552502153344061,True
2025,1268,1155,Maryland,Grand Canyon,4,13,South,False,0.4454908866076336,0.5545091133923664,Grand Canyon,13,0.5545091133923664,True
